CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
dcf3763c4940   cachito_threads-nexus-1            63.15%    2.57GiB / 15.5GiB    16.58%    48.2MB / 31MB     257MB / 556MB     127
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.52MiB / 15.5GiB   0.56%     125kB / 90.2kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.36MiB / 15.5GiB   0.13%     18.6kB / 2.91kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.70%     843.5MiB / 15.5GiB   5.32%     785MB / 2.27MB    358MB / 3.1GB     12
894c51829de4   cachito_threads-cachito-api-1      0.51%     160.2MiB / 15.5GiB   1.01%     142kB / 185kB     49.4MB / 287kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.13%     1.622GiB / 15.5GiB   10.47%    151kB / 136kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            15.12%    2.546GiB / 15.5GiB   16.43%    49MB / 31.3MB     257MB / 637MB     145
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.52MiB / 15.5GiB   0.56%     127kB / 92.6kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.01%     21.38MiB / 15.5GiB   0.13%     18.7kB / 2.98kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.25%     843.7MiB / 15.5GiB   5.32%     786MB / 2.29MB    358MB / 3.1GB     12
894c51829de4   cachito_threads-cachito-api-1      0.43%     160.2MiB / 15.5GiB   1.01%     145kB / 190kB     49.4MB / 295kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.53%     1.623GiB / 15.5GiB   10.47%    154kB / 139kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            14.66%    2.515GiB / 15.5GiB   16.23%    51.4MB / 31.9MB   257MB / 650MB     146
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.54MiB / 15.5GiB   0.56%     130kB / 95.1kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.01%     21.38MiB / 15.5GiB   0.13%     18.8kB / 3.08kB   29.5MB / 0B       14
